,base,1,2,3,4,5,6,7,8,9,10
83,vicente-huidobro-estrella-hija-de-estrella,vicente-huidobro-balada-de-lo-que-no-vuelve,vicente-huidobro-el-paso-del-retorno,vicente-huidobro-monumento-al-mar,vicente-huidobro-18,vicente-huidobro-poema-funerario,vicente-huidobro-el-celebre-oceano,vicente-huidobro-para-llorar,vicente-huidobro-invierno-para-beberlo,vicente-huidobro-aqui-estamos,jaime-sabines-algo-sobre-la-muerte-del-mayor-sabines--segunda-parte
84,vicente-huidobro-me-alejo-en-silencio,vicente-huidobro-18,vicente-huidobro-estrella-hija-de-estrella,vicente-huidobro-senora,vicente-huidobro-monumento-al-mar,vicente-huidobro-balada-de-lo-que-no-vuelve,vicente-huidobro-poema-funerario,vicente-huidobro-el-paso-del-retorno,vicente-huidobro-invierno-para-beberlo,vicente-huidobro-para-llorar,vicente-huidobro-expres
85,jaime-sabines-miss-x,jaime-sabines-algo-sobre-la-muerte-del-mayor-sabines--segunda-parte,vicente-huidobro-estrella-hija-de-estrella,vicente-huidobro-balada-de-lo-que-no-vuelve,mario-benedetti-a-la-izquierda-del-roble,jaime-sabines-la-cojita-esta-embarazada,jaime-sabines-pasa-el-lunes,jaime-sabines-los-dias-inutiles,jaime-sabines-mi-corazon-emprende,vicente-huidobro-el-paso-del-retorno,jaime-sabines-te-quiero-porque-tienes
86,vicente-huidobro-aqui-estamos,vicente-huidobro-viajero,vicente-huidobro-balada-de-lo-que-no-vuelve,vicente-huidobro-estrella-hija-de-estrella,vicente-huidobro-senora,vicente-huidobro-monumento-al-mar,vicente-huidobro-ilusiones-perdidas,vicente-huidobro-el-paso-del-retorno,vicente-huidobro-18,vicente-huidobro-para-llorar,mario-benedetti-incitacion
87,jaime-sabines-te-quiero-porque-tienes,jaime-sabines-algo-sobre-la-muerte-del-mayor-sabines--segunda-parte,vicente-huidobro-balada-de-lo-que-no-vuelve,vicente-huidobro-el-paso-del-retorno,jaime-sabines-mi-corazon-emprende,jaime-sabines-pasa-el-lunes,jaime-sabines-miss-x,vicente-huidobro-estrella-hija-de-estrella,mario-benedetti-un-padre-nuestro-latinoamericano,mario-benedetti-a-la-izquierda-del-roble,vicente-huidobro-monumento-al-mar
88,tirso-de-molina-sale-el-sol-por-el-cielo-luminoso,tirso-de-molina-versos-de-novela-cortesana,vicente-huidobro-el-celebre-oceano,tirso-de-molina-del-castizo-caballo-descuidado,tirso-de-molina-movido-de-mis-ruegos-febo-el-paso,jaime-sabines-pequena-del-amor,vicente-huidobro-estrella-hija-de-estrella,vicente-huidobro-aqui-estamos,tirso-de-molina-oh-premio-rico-que-a-perder-provoca,jaime-sabines-vieja-la-noche,vicente-huidobro-horas
89,vicente-huidobro-balada-de-lo-que-no-vuelve,vicente-huidobro-el-paso-del-retorno,vicente-huidobro-estrella-hija-de-estrella,vicente-huidobro-monumento-al-mar,vicente-huidobro-poema-funerario,jaime-sabines-algo-sobre-la-muerte-del-mayor-sabines--segunda-parte,vicente-huidobro-18,mario-benedetti-un-padre-nuestro-latinoamericano,vicente-huidobro-para-llorar,mario-benedetti-a-la-izquierda-del-roble,vicente-huidobro-aqui-estamos
90,vicente-huidobro-alerta,vicente-huidobro-invierno-para-beberlo,vicente-huidobro-estrella-hija-de-estrella,vicente-huidobro-horas,vicente-huidobro-expres,vicente-huidobro-balada-de-lo-que-no-vuelve,vicente-huidobro-poema-funerario,vicente-huidobro-monumento-al-mar,vicente-huidobro-18,vicente-huidobro-el-paso-del-retorno,mario-benedetti-a-la-izquierda-del-roble
91,vicente-huidobro-hija,vicente-huidobro-estrella-hija-de-estrella,vicente-huidobro-18,vicente-huidobro-invierno-para-beberlo,vicente-huidobro-balada-de-lo-que-no-vuelve,vicente-huidobro-monumento-al-mar,vicente-huidobro-poema-funerario,vicente-huidobro-horas,vicente-huidobro-el-paso-del-retorno,jaime-sabines-miss-x,vicente-huidobro-aqui-estamos
92,tirso-de-molina-un-ano-cielos-ha-que-amor-me-obliga,tirso-de-molina-que-confusion-enmaranados-cielos,tirso-de-molina-versos-de-novela-cortesana,tirso-de-molina-oh-premio-rico-que-a-perder-provoca,tirso-de-molina-el-tardo-buey-atado-a-la-coyunda,tirso-de-molina-no-en-balde-nino-amor-te-pintan-ciego,tirso-de-molina-movido-de-mis-ruegos-febo-el-paso,tirso-de-molina-yo-os-prometi-mi-libertad-querida,tirso-de-molina-todo-es-temor-amor-todo-es-recelos,tirso-de-molina-coplas,tirso-de-molina-falsa-amistad-ladron-disimulado
93,tirso-de-molina-quiere-hacer-un-tapiz-la-industria-humana,tirso-de-molina-del-castizo-caballo-descuidado,tirso-de-molina-falsa-amistad-ladron-disimulado,tirso-de-molina-versos-de-novela-cortesana,tirso-de-molina-no-en-balde-nino-amor-te-pintan-ciego,tirso-de-molina-que-confusion-enmaranados-cielos,tirso-de-molina-oh-premio-rico-que-a-perder-provoca,tirso-de-molina-un-ano-cielos-ha-que-amor-me-obliga,tirso-de-molina-coplas,mario-benedetti-incitacion,tirso-de-molina-yo-os-prometi-mi-libertad-querida
94,mario-benedetti-ngelus,mario-benedetti-a-la-izquierda-del-roble,jaime-sabines-los-dias-inutiles,vicente-huidobro-estrella-hija-de-estrella,jaime-sabines-algo-sobre-la-muerte-del-mayor-sabines--segunda-parte,vicente-huidobro-balada-de-lo-que-no-vuelve,vicente-huidobro-el-paso-del-retorno,vicente-huidobro-arte-poetica,jaime-sabines-tlaltelolco-68,jaime-sabines-pasa-el-lunes,mario-benedetti-a-tientas
